Title,Keyword,Keyword_code,Keyword_ID,Position,Previous position,Search Volume,CPC,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Number of Results,Trends,Last Seen,Keyword Difficulty,Cluster
PMP® Certification | Confidently Ace The PMP Exam,best course for pmp,pmp,1,4,4,30,10.26,0,0.0,0,0.0,0.24,15600000,"[0,55,22,100,22,22,44,22,22,22,22,22]",2024-12-31,39.0,0
PMP® Course | Confidently Ace The PMP Exam,best pmp prep course,pmp,1,6,6,170,8.4,0,0.0,0,0.0,0.52,1260000,"[28,28,53,43,43,35,35,28,82,43,100,28]",2024-12-31,32.0,0
PMP® Certification | Ace PMP Exam in 1st Attempt,certificado de gestion de proyectos - pmp,pmp,1,1,1,40,7.08,1,0.0,7,0.01,0.53,80600000,"[22,22,44,22,22,22,22,77,100,22,22,100]",2025-01-13,18.0,0
PMP® Certification Training | Flat 40% Off - Enroll Now,cheap pmp certification,pmp,1,1,1,90,5.98,4,0.02,23,0.03,0.46,40900000,"[41,41,41,52,52,52,64,64,52,64,82,82]",2025-01-18,25.0,0
PMP® Certification Course,duration of pmp course,pmp,1,2,2,50,2.61,0,0.0,0,0.0,0.24,21900000,"[18,81,18,18,81,18,18,18,100,18,100,18]",2025-01-22,46.0,0
PMP® Certification Training | Flat 40% Off - Enroll Now,how much does it cost to do pmp-acp,pmp,1,4,4,390,0.0,2,0.01,0,0.0,0.0,1910000,"[100,0,0,0,0,0,0]",2025-01-05,22.0,0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,how to get pmp certification,pmp,1,4,4,1900,3.92,13,0.06,50,0.07,0.69,39400000,"[65,55,65,65,65,44,55,100,65,55,65,65]",2025-01-15,46.0,0
PMP® Certification Course,how to get project management certification - pmp,pmp,1,3,3,390,7.37,3,0.01,22,0.03,0.72,375000000,"[66,100,81,54,81,66,28,100,81,81,81,66]",2025-01-21,56.0,1
PMP® Certification Training | Ace PMP Exam in 1st Attempt,how to prepare for pmp certification,pmp,1,1,1,110,3.07,5,0.02,15,0.02,0.4,10200000,"[52,100,64,52,82,64,64,82,64,64,64,82]",2025-01-13,33.0,0
PMP® Certification Course,how to prepare for pmp certification,pmp,1,5,5,110,3.07,0,0.0,0,0.0,0.4,10200000,"[52,100,64,52,82,64,64,82,64,64,64,82]",2025-01-13,33.0,0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,how to register for pmp exam,pmp,1,2,2,70,3.18,0,0.0,0,0.0,0.45,19900000,"[55,77,100,77,100,77,77,77,100,100,100,100]",2025-01-15,18.0,0
PMP® Certification Course | Flat 40% Off - Enroll Now,it project manager certification - pmp,pmp,1,5,5,140,7.25,0,0.0,0,0.0,0.51,262000000,"[34,53,43,53,34,43,100,34,43,28,28,34]",2024-12-29,45.0,0
PMP® Certification | Flat 40% Off - Enroll Now,online pmp certification training,pmp,1,1,1,50,11.09,2,0.01,22,0.03,0.48,7540000,"[21,21,28,7,28,100,78,28,35,0,35,0]",2024-12-27,57.0,1
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,pmi certification - pmp,pmp,1,1,1,5400,3.35,253,1.35,847,1.3,0.59,48200000,"[44,66,54,54,54,54,44,54,54,81,100,44]",2025-01-22,45.0,0
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmi exam prep - pmp,pmp,1,4,4,140,5.36,0,0.0,0,0.0,0.66,5700000,"[3,2,1,1,0,100,0,0,3,13,3,0]",2024-12-31,56.0,1
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmi pmp certification,pmp,1,2,2,720,3.98,9,0.04,35,0.05,0.57,8920000,"[45,55,24,62,55,45,30,55,62,36,55,36]",2025-01-13,70.0,1
PMI Certified PMP® Training | Flat 40% Off - Enroll Now,pmi project management course - pmp,pmp,1,3,3,210,4.57,1,0.0,4,0.0,0.48,25400000,"[28,28,18,28,35,100,44,35,35,35,35,44]",2024-12-28,62.0,1
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmp certificaiton,pmp,1,2,2,140,3.38,1,0.0,3,0.0,0.62,200000000,"[0,15,100,1,54,2,15,4,2,2,2,36]",2025-01-12,77.0,1
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp certification,pmp,1,1,1,90500,3.76,4253,22.77,15991,24.66,0.6,166000000,"[67,54,81,81,67,67,81,67,81,81,67,67]",2024-12-31,78.0,1
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmp certification,pmp,1,1,1,90500,3.76,4253,22.77,15991,24.66,0.6,172000000,"[67,54,81,81,67,67,81,67,81,81,67,67]",2025-01-01,78.0,1
PMP® Training & Exam | Special Offer: Get $400 Off,pmp certification,pmp,1,2,2,90500,3.82,1176,6.29,4492,6.92,0.65,154000000,"[54,81,81,67,67,81,67,81,81,67,67,81]",2025-01-14,77.0,1
PMP® Certification | Ace PMP Exam in 1st Attempt,pmp certification,pmp,1,3,3,90500,3.82,814,4.35,3109,4.79,0.65,165000000,"[54,81,81,67,67,81,67,81,81,67,67,81]",2025-01-07,78.0,1
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp certification,pmp,1,4,4,90500,3.76,633,3.39,2380,3.67,0.6,176000000,"[67,54,81,81,67,67,81,67,81,81,67,67]",2025-01-02,82.0,1
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification,pmp,1,6,0,90500,3.82,452,2.42,1726,2.66,0.65,155000000,"[54,81,81,67,67,81,67,81,81,67,67,81]",2025-01-26,70.0,1
PMP® Exam & Certification - Flat 40% Off - Enroll Now,pmp certification 35 hours online training,pmp,1,4,4,40,7.75,0,0.0,0,0.0,0.61,28500000,"[23,11,41,29,17,11,17,23,23,29,11,11]",2024-12-31,31.0,0
PMP® Exam & Certification - Special Offer: Get $400 Off,pmp certification cost,pmp,1,5,5,12100,2.59,60,0.32,155,0.23,0.33,112000000,"[54,66,66,54,66,54,54,66,54,54,54,100]",2025-01-07,46.0,0
PMP® Certification Course | Flat 40% Off - Enroll Now,pmp certification courses online,pmp,1,3,3,260,9.78,2,0.01,19,0.02,0.62,8930000,"[9,9,29,15,29,9,9,4,66,54,81,100]",2024-12-27,57.0,1
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification exam questions,pmp,1,1,1,880,1.06,41,0.21,43,0.06,0.45,94000000,"[25,68,46,84,37,31,37,20,31,68,11,68]",2025-01-17,37.0,0
PMP® Certification Course | Flat 40% Off - Enroll Now,pmp certification online course,pmp,1,6,6,170,9.78,0,0.0,0,0.0,0.62,35200000,"[9,15,19,15,23,4,1,12,23,23,100,36]",2024-12-27,59.0,1
PMP® Certification Course,pmp certification requirements,pmp,1,1,0,6600,2.37,310,1.66,734,1.13,0.59,162000000,"[66,100,81,81,81,81,66,81,81,66,66,54]",2025-01-26,54.0,1
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification requirements,pmp,1,2,2,6600,2.37,85,0.45,201,0.31,0.59,166000000,"[66,100,81,81,81,81,66,81,81,66,66,54]",2025-01-14,55.0,1
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification training,pmp,1,5,5,1300,9.39,6,0.03,56,0.08,0.42,209000000,"[8,29,29,13,8,7,7,8,7,10,10,8]",2025-01-24,70.0,1
PMP® Certification Course | Confidently Ace The PMP Exam,pmp certification what is it,pmp,1,4,4,70,2.08,0,0.0,0,0.0,0.28,143000000,"[11,29,29,29,41,41,41,52,52,41,52,64]",2025-01-01,49.0,0
PMP® Exam & Certification | Special Offer: Get $400 Off,pmp certificering,pmp,1,6,6,30,3.77,0,0.0,0,0.0,0.19,29700,"[40,0,0,80,100,100,60,40,40,60,40,40]",2024-12-31,66.0,1
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp course,pmp,1,5,5,2400,7.22,12,0.06,86,0.13,0.69,71600000,"[28,54,54,36,28,36,28,43,36,36,36,28]",2025-01-23,70.0,1
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp courses online free,pmp,1,1,1,40,4.61,1,0.0,4,0.0,0.46,53900000,"[14,42,0,0,100,57,100,100,100,42,28,42]",2025-01-18,28.0,0
PMP® Exam & Certification,pmp exam,pmp,1,3,0,6600,2.6,59,0.31,153,0.23,0.39,21000000,"[54,81,66,66,66,66,66,66,66,66,81,81]",2025-01-26,60.0,1
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmp exam,pmp,1,4,4,6600,2.17,46,0.24,99,0.15,0.36,24200000,"[66,54,81,66,66,66,66,66,66,66,66,81]",2024-12-31,68.0,1
PMP® Exam & Certification | Special Offer: Get $400 Off,pmp exam,pmp,1,4,4,6600,2.6,46,0.24,119,0.18,0.39,20400000,"[54,81,66,66,66,66,66,66,66,66,81,81]",2025-01-10,63.0,1
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmp exam cost,pmp,1,2,2,2400,2.28,31,0.16,70,0.1,0.28,11400000,"[52,100,66,66,52,66,80,52,80,52,52,66]",2025-01-15,38.0,0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp exam cost,pmp,1,2,2,2400,2.28,31,0.16,70,0.1,0.28,11600000,"[52,100,66,66,52,66,80,52,80,52,52,66]",2025-01-22,44.0,0
PMP® Certification - Flat 40% Off - Enroll Now,pmp exam fee,pmp,1,2,2,1900,1.85,24,0.12,44,0.06,0.34,8680000,"[41,41,100,66,100,100,100,41,66,100,30,54]",2024-12-27,27.0,0
PMP® Training & Exam - Ace PMP Exam in 1st Attempt,pmp exam practice test,pmp,1,3,3,590,2.08,5,0.02,10,0.01,0.52,5570000,"[30,8,13,16,16,10,100,13,41,8,16,2]",2025-01-26,32.0,0
PMP® Certification Training - Ace PMP Exam in 1st Attempt,pmp exam prep free,pmp,1,1,1,40,2.59,1,0.0,2,0.0,0.63,2620000,"[17,29,11,11,29,23,17,23,29,17,23,17]",2025-01-24,30.0,0
PMP® Course | Confidently Ace The PMP Exam,pmp free course,pmp,1,3,3,110,4.18,0,0.0,0,0.0,0.57,48300000,"[64,52,52,52,82,100,64,52,100,82,82,82]",2025-01-01,35.0,0
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmp practice exam free,pmp,1,1,1,320,1.5,15,0.08,22,0.03,0.43,3230000,"[81,28,35,35,54,66,44,35,44,100,35,81]",2025-01-01,29.0,0
PMP® Training & Exam | Confidently Ace The PMP Exam,pmp prep classes,pmp,1,5,5,590,10.08,2,0.01,20,0.03,0.55,490000,"[48,59,59,39,72,72,21,72,17,88,72,100]",2025-01-01,49.0,0
PMP® Exam & Certification,pmp registered,pmp,1,2,2,40,5.31,0,0.0,0,0.0,0.26,51600000,"[45,18,63,100,63,18,18,18,18,18,18,18]",2025-01-21,56.0,1
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp registered,pmp,1,5,5,40,5.31,0,0.0,0,0.0,0.26,51600000,"[45,18,63,100,63,18,18,18,18,18,18,18]",2025-01-21,56.0,1
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmp study course,pmp,1,1,1,320,8.96,15,0.08,134,0.2,0.19,35800000,"[0,100,66,81,35,35,44,100,54,44,54,81]",2025-01-24,58.0,1
PMP® Exam & Certification,pmp test,pmp,1,4,4,1600,2.6,11,0.05,28,0.04,0.39,51700000,"[20,29,29,29,22,22,22,22,22,22,100,43]",2025-01-22,67.0,1
PMP® Exam & Certification - Confidently Ace The PMP Exam,pmp test requirements,pmp,1,3,3,260,1.67,2,0.01,3,0.0,0.31,64800000,"[44,29,100,36,36,29,29,19,44,19,54,23]",2025-01-01,47.0,0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp training and certification cost,pmp,1,4,4,50,2.59,0,0.0,0,0.0,0.33,6630000,"[0,2,6,4,0,0,0,2,8,0,100,2]",2025-01-06,37.0,0
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,pmp training pmi,pmp,1,3,3,210,3.98,1,0.0,3,0.0,0.57,5580000,"[12,100,36,36,23,15,23,19,23,15,23,15]",2025-01-09,70.0,1
PMP® Certification | Ace PMP Exam in 1st Attempt,project management certification - pmp ,pmp,1,1,1,1600,3.82,75,0.4,286,0.44,0.65,35300000,"[16,36,44,66,100,44,27,20,44,36,52,44]",2025-01-19,73.0,1
PMP® Certification | Special Offer: Get $400 Off,project management certification pmp,pmp,1,5,5,49500,6.49,247,1.32,1603,2.47,0.68,978000000,"[66,66,100,81,66,81,66,100,81,81,81,66]",2024-12-31,76.0,1
PMP® Certification | Confidently Ace The PMP Exam,project management professional certification - pmp,pmp,1,4,4,18100,3.76,126,0.67,473,0.72,0.6,931000000,"[24,24,67,67,54,29,100,10,54,54,100,16]",2024-12-31,82.0,1
PMP® Certification Course | Ace PMP Exam in 1st Attempt,project management professional prep course - pmp,pmp,1,3,3,590,8.96,5,0.02,44,0.06,0.19,41600000,"[11,88,26,72,72,72,72,88,100,26,17,39]",2025-01-23,43.0,0
PMP® Training Course | Confidently Ace The PMP Exam,purdue project management essentials - pmp,pmp,1,2,2,30,5.11,0,0.0,0,0.0,0.15,186000,"[18,18,81,18,18,18,18,18,18,18,18,18]",2025-01-01,34.0,0
Simplilearn PMP® Course | Special Offer: Get $400 Off,simplilearn,simplilearn,3,1,1,8100,2.31,380,2.03,877,1.35,0.14,4130000,"[44,54,44,54,44,66,54,54,54,54,81,44]",2025-01-22,52.0,1
Simplilearn PMP® Course | Flat 40% Off - Enroll Now,simplilearn,simplilearn,3,1,1,70,2.31,3,0.01,6,0.0,0.14,4210000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2025-01-22,48.0,0
Simplilearn PMP® Course | Special Offer: Get $400 Off,simplilearn,simplilearn,3,1,1,70,1.88,3,0.01,5,0.0,0.16,4790000,"[0,4,4,0,0,0,0,0,0,0,0,100]",2025-01-02,38.0,0
Simplilearn PMP® Course - Limited Offer: Get $400 Off,simplilearn,simplilearn,3,2,2,70,1.88,0,0.0,0,0.0,0.16,4790000,"[0,4,4,0,0,0,0,0,0,0,0,100]",2025-01-02,38.0,0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,what is the cost of pmp exam,pmp,1,4,4,40,2.18,0,0.0,0,0.0,0.4,4420000,"[11,23,11,100,11,11,11,11,11,11,11,11]",2025-01-24,34.0,0
Product Owner (CSPO®) Course | Limited Offer: Flat $279 Off,a certified scrum product owner,cspo,4,1,1,70,3.02,3,0.01,9,0.01,0.42,8800000,"[0,77,77,77,77,44,77,55,77,77,77,77]",2025-01-16,44.0,0
Become Certified Scrum Master | Limited-time Offer: $270 Only,agile certified scrum master,scrum,2,3,3,90,3.19,0,0.0,0,0.0,0.51,16100000,"[4,4,8,6,6,8,13,4,0,3,4,5]",2024-12-31,67.0,1
AWS Certification Course,amazon web service certification - aws,aws,5,2,2,1300,1.74,16,0.08,27,0.04,0.34,318000000,"[0,0,0,0,1,100,1,2,4,1,2,0]",2025-01-24,97.0,1
AWS Certified Cloud Practioner | Special Offer Get Flat 43% Off,aws practitioner certification,aws,5,3,0,1000,1.5,9,0.04,13,0.02,0.41,29200000,"[76,100,67,76,76,67,67,76,76,76,76,76]",2025-01-26,78.0,1
AWS Solution Architect Course | Get AWS Associate Certificate,aws solutions architect-associate,aws,5,4,4,70,3.86,0,0.0,0,0.0,0.25,11000000,"[0,0,0,0,0,100,0,0,0,0,0,0]",2025-01-05,61.0,1
AWS Certified Cloud Practioner | Today's offer- Flat $300 Off,best aws learning tutorial,aws,5,5,5,720,0.0,3,0.01,0,0.0,0.0,45700000,"[100,0,0]",2025-01-23,47.0,0
No Cost & No Hidden Fees - AWS Certification Course,best platform to learn aws,aws,5,4,0,110,0.0,0,0.0,0,0.0,0.26,149000000,"[100,1,1,1,1,1,1,1,1,1,1,1]",2025-01-26,38.0,0
Cloud Certification Course | Masters Certification in Cloud,caltech post graduate program in cloud computing,cloud,6,3,3,40,15.02,0,0.0,0,0.0,0.47,79700,"[18,36,18,18,18,18,36,18,18,18,63,100]",2024-12-31,19.0,0
CAPM® Certification Training | Ace CAPM® Exam in 1st Attempt,capm certification,capm,7,4,4,14800,2.72,103,0.55,280,0.43,0.63,5790000,"[66,100,100,81,81,81,81,81,81,81,81,66]",2025-01-25,58.0,1
CAPM® Exam Prep in 3 Weeks | Ace CAPM® Exam in 1st Attempt,capm course,capm,7,6,0,590,4.5,2,0.01,9,0.01,0.71,8770000,"[54,100,81,81,66,66,66,66,81,66,100,100]",2025-01-26,44.0,0
Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,capm training classes,capm,7,2,2,70,5.62,0,0.0,0,0.0,0.4,952000,"[11,52,64,52,52,52,29,41,29,29,29,29]",2025-01-16,39.0,0
Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,certified associate in project management capm course,capm,7,2,2,110,6.11,1,0.0,6,0.0,0.75,328000,"[41,100,64,64,52,64,64,52,64,52,52,41]",2025-01-21,27.0,0
CAPM® Certification Training | Ace CAPM® Exam in 1st...,certified associate in project management capm course,capm,7,5,5,110,6.11,0,0.0,0,0.0,0.75,328000,"[41,100,64,64,52,64,64,52,64,52,52,41]",2025-01-21,27.0,0
Become Certified Scrum Master | Flash Sale: Enroll @ $270,certified scrum certification,scrum,2,4,4,880,3.01,6,0.03,18,0.02,0.56,6460000,"[2,4,13,30,100,81,100,81,100,30,45,24]",2025-01-10,73.0,1
CSM Scrum Master Course Online - Limited-time Offer: $270 Only,certified scrum master,scrum,2,1,1,5400,2.53,253,1.35,640,0.98,0.49,40200000,"[29,54,54,44,44,44,44,44,44,44,36,29]",2025-01-07,73.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master,scrum,2,2,2,5400,2.68,70,0.37,187,0.28,0.43,24600000,"[36,29,54,54,44,44,44,44,44,44,44,36]",2024-12-30,73.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certificate,scrum,2,2,2,260,3.21,3,0.01,9,0.01,0.64,13700000,"[0,0,0,0,0,0,0,0,0,100,0,0]",2025-01-22,64.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certification,scrum,2,1,1,9900,3.21,465,2.49,1492,2.3,0.64,44200000,"[54,100,66,36,81,44,24,81,29,81,36,66]",2025-01-17,50.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certification,scrum,2,4,4,9900,3.21,69,0.36,221,0.34,0.64,31500000,"[54,100,66,36,81,44,24,81,29,81,36,66]",2025-01-24,54.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certification,scrum,2,6,6,9900,3.4,49,0.26,166,0.25,0.56,13200000,"[44,54,100,66,36,81,44,24,81,29,81,36]",2024-12-30,55.0,1
CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,certified scrum master class,scrum,2,2,2,260,5.46,3,0.01,16,0.02,0.43,4450000,"[43,100,82,66,100,100,35,66,35,66,100,43]",2025-01-24,59.0,1
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master course,scrum,2,3,3,390,5.46,3,0.01,16,0.02,0.43,49100000,"[66,100,81,66,100,81,66,44,3,81,35,28]",2025-01-18,60.0,1
Become Certified Scrum Master | Today's Offer: Up To 51% Off,certified scrum master csm certification,scrum,2,3,3,170,3.37,1,0.0,3,0.0,0.38,1910000,"[34,53,80,80,80,65,65,65,65,100,53,65]",2024-12-28,51.0,0
Become a Certified ScrumMaster | Today's Offer: Up To 51%...,certified scrummaster csm,scrum,2,3,3,140,3.23,1,0.0,3,0.0,0.4,4120000,"[65,100,28,21,34,65,28,21,81,65,65,0]",2025-01-18,60.0,1
Cloud Architect Certificate - Become a Cloud Architect,cloud architect certification,cloud,6,3,3,480,6.39,4,0.02,25,0.03,0.4,63800000,"[36,54,44,36,29,44,36,36,36,100,100,81]",2025-01-22,77.0,1
Scrum Alliance CSM® Training | Flash Sale: Enroll @ $270,csm certification - scrum,scrum,2,1,1,9900,4.52,465,2.49,2101,3.24,0.43,51800000,"[100,29,44,44,44,36,36,36,36,36,29,36]",2024-12-28,57.0,1
CSM Scrum Master Course Online | Limited-time Offer: $270 Only,csm class - scrum,scrum,2,3,3,140,3.62,1,0.0,3,0.0,0.09,69900000,"[4,5,0,0,1,5,11,7,4,100,17,2]",2025-01-12,42.0,0
CSM Scrum Master Course Online | Limited-time Offer: $270 Only,csm scrum master certification,scrum,2,2,2,210,3.23,2,0.01,6,0.0,0.4,4620000,"[53,81,100,65,81,81,65,65,81,65,21,81]",2025-01-25,48.0,0
CSPO® Certification | Limited Offer: Enroll @ $270,cspo,cspo,4,2,2,5400,4.09,70,0.37,286,0.44,0.41,8660000,"[54,66,66,66,66,66,66,66,66,66,66,54]",2025-01-07,44.0,0
CSPO® Certification | Special Offer: Flat $279 Off,cspo,cspo,4,3,3,5400,4.09,48,0.25,196,0.3,0.41,8780000,"[54,66,66,66,66,66,66,66,66,66,66,54]",2025-01-03,44.0,0
CSPO® Certification Course | Limited Offer: Flat $279 Off,cspo training,cspo,4,3,3,480,6.97,4,0.02,27,0.04,0.24,8690000,"[5,7,10,13,13,7,8,5,100,41,8,13]",2024-12-31,44.0,0
Online AWS CPE Course | Special Offer Get Flat 43% Off,devops certification course - aws,aws,5,4,4,50,7.78,0,0.0,0,0.0,0.46,51200000,"[11,17,17,29,23,41,23,41,52,17,64,17]",2024-12-31,60.0,1
